Edad,Genero,Nivel_Educativo,Titulo_Del_Trabajo,Años_De_Experiencia,Salario
42,Hombre,Licenciatura,Gerente de Operaciones Senior,12,110000.0
29,Mujer,Licenciatura,Representante de Ventas Junior,1,40000.0
36,Hombre,Licenciatura,Especialista en Marketing Senior,8,95000.0
44,Otro,Maestria,Senior HR Specialist,15,140000.0
39,Mujer,Licenciatura,Coordinador de Marketing Senior,9,110000.0
45,Otro,Otro,Ingeniero de Datos Senior,16,150000.0
32,Mujer,Licenciatura,Gerente de Marketing Junior,4,60000.0
37,Hombre,Licenciatura,Analista Financiero Senior,8,90000.0
47,Mujer,Maestria,Director de Marketing,20,180000.0
30,Hombre,Licenciatura,Analista de Negocios Junior,2,40000.0
38,Mujer,Licenciatura,Gerente de Proyectos Senior,9,120000.0
46,Hombre,Doctorado,Analista de Datos Senior,17,160000.0
34,Mujer,Licenciatura,Analista Financiero Junior,5,70000.0
36,Hombre,Otro,Gerente de Producto Senior,8,95000.0
49,Mujer,Maestria,Director de Operaciones,21,180000.0
31,Hombre,Licenciatura,Analista de Operaciones Junior,0,50000.0
41,Mujer,Licenciatura,Otro,11,95000.0
47,Hombre,Maestria,Director de Marketing,19,170000.0
29,Mujer,Licenciatura,Asociado de Desarrollo de Negocios Junior,1,35000.0
35,Hombre,Licenciatura,Gerente Financiero Senior,9,100000.0
44,Mujer,Doctorado,Diseñador de Producto Senior,15,150000.0
33,Hombre,Licenciatura,Otro,4,60000.0
44,Hombre,Licenciatura,Ingeniero de Software Senior,13,130000.0
32,Hombre,Licenciatura,Gerente de Producto Junior,4,65000.0
38,Mujer,Licenciatura,Otro,10,110000.0
49,Hombre,Doctorado,Director de Operaciones,21,180000.0
29,Mujer,Licenciatura,Otro,2,40000.0
35,Hombre,Licenciatura,bbb,7,90000.0
45,Mujer,Maestria,Gerente de Recursos Humanos Senior,14,140000.0
33,Hombre,Licenciatura,Analista Financiero Junior,4,60000.0
40,Mujer,Licenciatura,Gerente de Marketing Senior,12,130000.0
44,Hombre,Doctorado,Cientifico de Datos Senior,16,160000.0
30,Mujer,Licenciatura,Coordinador de Operaciones Junior,2,40000.0
37,Hombre,Otro,Analista de Marketing Senior,9,100000.0
48,Mujer,Maestria,Director de Recursos Humanos,20,180000.0
38,Mujer,Licenciatura,Coordinador de Operaciones Senior,9,120000.0
45,Hombre,Doctorado,Ingeniero de Datos Senior,16,150000.0
33,Mujer,Licenciatura,Gerente de Marketing Junior,5,70000.0
36,Hombre,Licenciatura,Analista de Negocios Senior,8,95000.0
49,Mujer,Maestria,Director de Marketing,21,180000.0
31,Hombre,Licenciatura,Analista de Operaciones Junior,3,50000.0
42,Mujer,Licenciatura,Gerente de Proyectos Senior,12,120000.0
47,Hombre,Maestria,Director de Marketing,0,170000.0
33,Hombre,Licenciatura,Analista de Negocios Junior,4,60000.0
30,Mujer,Licenciatura,Coordinador de Recursos Humanos Junior,2,40000.0
37,Hombre,Licenciatura,Gerente de Desarrollo de Negocios Senior,10,120000.0
45,Mujer,Maestria,Gerente de Marketing Senior,16,160000.0
32,Hombre,Licenciatura,Asesor Financiero Junior,4,65000.0
47,Hombre,Otro,Director de Ingenieria,20,180000.0
36,Hombre,Licenciatura,Gerente de Operaciones Senior,9,100000.0
43,Mujer,Doctorado,Otro,0,150000.0
32,Hombre,Licenciatura,Coordinador de Marketing Junior,3,55000.0
48,Hombre,Maestria,Director de Marketing,21,180000.0
31,Mujer,Licenciatura,Otro,3,50000.0
40,Hombre,Licenciatura,Analista Financiero Senior,12,130000.0
33,Hombre,Licenciatura,Gerente de Producto Junior,4,60000.0
36,Mujer,Licenciatura,Otro,8,95000.0
47,Hombre,Maestria,Director de Operaciones,19,170000.0
29,Mujer,Licenciatura,Gerente de Proyectos Junior,2,40000.0
34,Hombre,Licenciatura,Coordinador de Operaciones Senior,7,90000.0
44,Mujer,Doctorado,Analista de Negocios Senior,15,150000.0
33,Otro,Licenciatura,Especialista en Marketing Junior,5,70000.0
35,Mujer,Licenciatura,Gerente Financiero Senior,8,90000.0
43,Hombre,Maestria,Director de Marketing,18,170000.0
31,Mujer,Licenciatura,Analista Financiero Junior,3,50000.0
41,Hombre,Licenciatura,Gerente de Producto Senior,14,150000.0
44,Mujer,Doctorado,Ingeniero de Datos Senior,16,160000.0
35,Otro,Licenciatura,Analista de Marketing Senior,8,85000.0
45,Hombre,Maestria,Director de Ingenieria,19,180000.0
28,Mujer,Licenciatura,Gerente de Operaciones Junior,1,35000.0
36,Hombre,Licenciatura,Otro,8,110000.0
44,Mujer,Doctorado,Cientifico de Datos Senior,16,160000.0
31,Hombre,Licenciatura,Coordinador de Marketing Junior,0,55000.0
38,Mujer,Licenciatura,Analista de Negocios Senior,10,110000.0
31,Mujer,Licenciatura,Asociado de Desarrollo de Negocios Junior,3,50000.0
45,Mujer,Doctorado,Diseñador UX Senior,16,160000.0
36,Mujer,Licenciatura,Gerente de Marketing Senior,8,95000.0
29,Mujer,Otro,Gerente de Proyectos Junior,2,40000.0
33,Hombre,Licenciatura,Especialista en Marketing Junior,5,70000.0
43,Hombre,Maestria,Director de Operaciones,19,170000.0
34,Hombre,Otro,Coordinador de Operaciones Senior,7,90000.0
31,Hombre,Maestria,Cientifico de Datos,6,160000.0
28,Mujer,Licenciatura,Ingeniero de Software,3,125000.0
26,Hombre,Maestria,Gerente de Producto,2,120000.0
27,Mujer,Licenciatura,Analista de Datos,2,110000.0
30,Hombre,Doctorado,Cientifico de Datos,5,180000.0
29,Mujer,Licenciatura,Ingeniero de Software,4,140000.0
32,Hombre,Licenciatura,Gerente de Producto,7,170000.0
25,Mujer,Maestria,Analista de Datos,1,100000.0
33,Hombre,Doctorado,Cientifico de Datos,8,190000.0
31,Mujer,Licenciatura,Ingeniero de Software,6,155000.0
28,Hombre,Maestria,Gerente de Producto,0,130000.0
30,Mujer,Licenciatura,Analista de Datos,5,145000.0
27,Hombre,Otro,Cientifico de Datos,2,115000.0
34,Hombre,Licenciatura,Gerente de Producto,9,185000.0
25,Mujer,Maestria,Otro,1,100000.0
28,Hombre,Maestria,Gerente de Producto,3,130000.0
30,Otro,Licenciatura,Analista de Datos,5,145000.0
28,Hombre,Licenciatura,Ingeniero de Software,3,125000.0
26,Mujer,Maestria,Gerente de Producto,0,120000.0
27,Hombre,Licenciatura,Analista de Datos,2,110000.0
30,Mujer,Doctorado,Cientifico de Datos,5,180000.0
29,Hombre,Licenciatura,Ingeniero de Software,4,140000.0
27,Hombre,Doctorado,Cientifico de Datos,2,115000.0
29,Mujer,Otro,Ingeniero de Software,4,140000.0
26,Mujer,Maestria,Gerente de Producto,2,120000.0
28,Hombre,Otro,Gerente de Producto,3,130000.0
27,Hombre,Doctorado,Otro,2,115000.0
31,Mujer,Licenciatura,Otro,6,155000.0
30,Mujer,Licenciatura,bbb,5,145000.0
34,Hombre,Licenciatura,Gerente de Producto,0,185000.0
28,Hombre,Maestria,Otro,3,130000.0
30,Mujer,Licenciatura,Analista de Datos,0,145000.0
33,Hombre,Otro,Cientifico de Datos,8,190000.0
28,Hombre,Maestria,bbb,3,130000.0
34,Hombre,Otro,Gerente de Producto,9,185000.0
31,Mujer,Licenciatura,Ingeniero de Software,0,155000.0
30,Mujer,Otro,Analista de Datos,5,145000.0
29,Mujer,Licenciatura,Otro,4,140000.0
29,Mujer,Maestria,Cientifico de Datos,0,180000.0
32,Hombre,Licenciatura,Ingeniero de Software,8,190000.0
27,Mujer,Licenciatura,Gerente de Producto,4,150000.0
24,Hombre,Licenciatura,Otro,1,90000.0
31,Mujer,Maestria,Cientifico de Datos,9,195000.0
28,Hombre,Licenciatura,Ingeniero de Software,0,160000.0
33,Mujer,Maestria,Gerente de Producto,11,198000.0
25,Hombre,Licenciatura,Analista de Datos,2,110000.0
30,Mujer,Otro,Cientifico de Datos,7,185000.0
27,Hombre,Otro,Ingeniero de Software,4,140000.0
34,Mujer,Maestria,Gerente de Producto,12,196000.0
23,Hombre,Licenciatura,Analista de Datos,0,95000.0
32,Mujer,Doctorado,Cientifico de Datos,10,193000.0
29,Hombre,Otro,Ingeniero de Software,6,175000.0
30,Mujer,Licenciatura,Gerente de Producto,5,160000.0
26,Hombre,Licenciatura,Analista de Datos,3,130000.0
33,Mujer,Otro,Gerente de Producto,11,198000.0
24,Hombre,Licenciatura,Analista de Datos,1,90000.0
27,Hombre,Licenciatura,Ingeniero de Software,4,140000.0
25,Hombre,Otro,Analista de Datos,2,110000.0
29,Mujer,Maestria,Otro,6,180000.0
31,Hombre,Licenciatura,Analista de Datos,9,195000.0
28,Mujer,Licenciatura,Ingeniero de Software,5,160000.0
33,Hombre,Maestria,Gerente de Producto,11,198000.0
26,Mujer,Licenciatura,Analista de Datos,3,130000.0
30,Hombre,Doctorado,Cientifico de Datos,7,185000.0
27,Otro,Licenciatura,Ingeniero de Software,4,140000.0
34,Hombre,Maestria,Gerente de Producto,12,196000.0
29,Mujer,Maestria,Cientifico de Datos,6,180000.0
30,Hombre,Licenciatura,Analista de Datos,5,160000.0
33,Mujer,Maestria,Otro,11,198000.0
31,Mujer,Doctorado,Cientifico de Datos,9,195000.0
28,Hombre,Licenciatura,Ingeniero de Software,5,160000.0
27,Mujer,Otro,Gerente de Producto,4,150000.0
30,Mujer,Doctorado,Cientifico de Datos,7,185000.0
27,Otro,Otro,Ingeniero de Software,4,140000.0
34,Mujer,Maestria,Otro,12,196000.0
26,Otro,Licenciatura,Analista de Datos,0,130000.0
27,Hombre,Licenciatura,bbb,4,140000.0
29,Mujer,Otro,Cientifico de Datos,6,180000.0
25,Otro,Licenciatura,Analista de Datos,2,110000.0
25,Mujer,Licenciatura,Analista de Datos,2,110000.0
31,Otro,Licenciatura,Analista de Datos,9,195000.0
25,Hombre,Licenciatura,Analista de Datos,2,125000.0
28,Mujer,Maestria,Cientifico de Datos,6,175000.0
30,Hombre,Licenciatura,Ingeniero de Software,8,190000.0
24,Hombre,Licenciatura,Analista de Datos,1,95000.0
31,Hombre,Maestria,Cientifico de Datos,9,195000.0
23,Hombre,Licenciatura,Analista de Datos,1,90000.0
29,Hombre,Licenciatura,Ingeniero de Software,6,170000.0
26,Hombre,Licenciatura,Analista de Datos,3,135000.0
31,Mujer,Otro,Otro,6,180000.0
25,Hombre,Otro,Analista de Datos,2,115000.0
27,Mujer,Licenciatura,Ingeniero de Software,4,140000.0
34,Otro,Maestria,Gerente de Producto,12,196000.0
24,Hombre,Otro,Otro,1,90000.0
29,Otro,Maestria,Cientifico de Datos,6,180000.0
32,Hombre,Licenciatura,Otro,8,190000.0
26,Hombre,Licenciatura,Analista de Datos,0,130000.0
32,Hombre,Otro,Ingeniero de Software,8,190000.0
27,Mujer,Maestria,Cientifico de Datos,4,150000.0
24,Mujer,Licenciatura,Gerente de Producto,3,125000.0
31,Otro,Maestria,Cientifico de Datos,7,180000.0
33,Mujer,Maestria,Gerente de Producto,10,195000.0
30,Mujer,Doctorado,Cientifico de Datos,6,170000.0
23,Hombre,Licenciatura,Analista de Datos,1,92000.0
32,Mujer,Doctorado,Cientifico de Datos,9,195000.0
26,Otro,Licenciatura,Analista de Datos,3,135000.0
31,Mujer,Maestria,Cientifico de Datos,6,180000.0
28,Hombre,Licenciatura,Ingeniero de Software,5,165000.0
25,Hombre,Licenciatura,Analista de Datos,2,115000.0
30,Otro,Doctorado,Cientifico de Datos,7,185000.0
32,Otro,Licenciatura,Ingeniero de Software,8,190000.0
27,Mujer,Licenciatura,Otro,4,150000.0
28,Otro,Licenciatura,Ingeniero de Software,5,160000.0
33,Mujer,Maestria,Gerente de Producto,0,198000.0
26,Hombre,Licenciatura,Otro,3,130000.0
32,Hombre,Licenciatura,Ingeniero de Software,0,190000.0
25,Hombre,Otro,Analista de Datos,3,135000.0
24,Hombre,Licenciatura,Otro,1,95000.0
33,Mujer,Maestria,Gerente de Producto,11,196000.0
27,Hombre,Licenciatura,Otro,4,140000.0
31,Hombre,Licenciatura,Analista de Datos,0,195000.0
24,Hombre,Licenciatura,Analista de Datos,1,92000.0
28,Otro,Licenciatura,Ingeniero de Software,0,160000.0
31,Hombre,Licenciatura,bbb,9,195000.0
24,Hombre,Licenciatura,Analista de Datos,0,90000.0
28,Mujer,Licenciatura,Ingeniero de Software,0,160000.0
32,Hombre,Licenciatura,bbb,8,190000.0
31,Hombre,Licenciatura,Analista de Datos,0,195000.0
24,Otro,Licenciatura,Analista de Datos,1,90000.0
30,Otro,Otro,Otro,7,185000.0
29,Mujer,Maestria,bbb,6,180000.0
32,Otro,Titulo de Licenciatura,Analista de Datos,5,135000.0
27,Mujer,Titulo de Maestria,Cientifico de Datos,3,180000.0
40,Hombre,Titulo de Licenciatura,Ingeniero de Software,12,195000.0
35,Mujer,Titulo de Licenciatura,Gerente de Producto,8,165000.0
43,Hombre,Titulo de Maestria,Cientifico de Datos,15,198000.0
29,Mujer,Titulo de Licenciatura,Ingeniero de Software,4,150000.0
36,Hombre,Titulo de Licenciatura,Analista de Datos,9,162000.0
31,Hombre,Titulo de Maestria,Cientifico de Datos,6,175000.0
42,Mujer,Titulo de Licenciatura,Ingeniero de Software,13,197000.0
33,Hombre,Otro,Analista de Datos,0,142000.0
29,Otro,Titulo de Maestria,Cientifico de Datos,4,182000.0
41,Hombre,Titulo de Licenciatura,Ingeniero de Software,11,185000.0
35,Mujer,Titulo de Licenciatura,Gerente de Producto,8,170000.0
27,Hombre,Licenciatura,Ingeniero de Software,4,160000.0
