Age,Gender,Education Level,Job Title,Years of Experience,Salary
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0
,Male,PhD,,16.0,220000.0
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0
36.0,,Bachelor's,IT Support Specialist,7.0,60000.0
41.0,,Master's,Senior Marketing Analyst,14.0,100000.0
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0
42.0,,Master's,Senior Graphic Designer,15.0,110000.0
37.0,Male,Bachelor's,bbb,9.0,95000.0
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0
23.0,Female,Bachelor's,,,35000.0
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0
40.0,Female,Bachelor's,Office Manager,15.0,65000.0
48.0,Male,PhD,,20.0,170000.0
29.0,Female,Bachelor's,Junior HR Generalist,,45000.0
35.0,Male,Master's,Senior Product Manager,10.0,120000.0
,Female,Bachelor's,Sales Manager,17.0,100000.0
53.0,Male,Master's,Director of Marketing,25.0,180000.0
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0
44.0,Female,PhD,Senior Scientist,16.0,140000.0
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0
45.0,,,Sales Operations Manager,18.0,110000.0
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
34.0,Male,Master's,Senior Software Developer,,105000.0
50.0,Female,Master's,Director of Operations,21.0,160000.0
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0
46.0,Male,Master's,Senior Project Manager,19.0,140000.0
30.0,,Bachelor's,Junior Marketing Manager,4.0,50000.0
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
43.0,,Master's,Senior Product Marketing Manager,14.0,120000.0
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0
,Male,Bachelor's,bbb,20.0,135000.0
25.0,Female,Master's,Junior Marketing Specialist,1.5,
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0
45.0,Male,Master's,Director of Sales,19.0,175000.0
29.0,,Bachelor's,Junior Recruiter,3.0,45000.0
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0
43.0,Female,PhD,Senior Product Designer,18.0,140000.0
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0
51.0,Female,PhD,Director of Human Resources,23.0,185000.0
28.0,Male,Bachelor's,Junior Software Engineer,bbb,40000.0
39.0,Female,Bachelor's,Senior Sales Representative,bbb,90000.0
48.0,Male,Master's,Director of Product Management,21.0,175000.0
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0
46.0,Male,PhD,Senior Researcher,18.0,150000.0
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0
50.0,Female,Master's,Director of Finance,20.0,180000.0
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,
,,,,,
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0
38.0,Female,Bachelor's,Senior Human Resources Coordinator,bbb,80000.0
46.0,Male,Master's,,20.0,170000.0
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0
44.0,Female,PhD,Senior UX Designer,15.0,145000.0
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0
50.0,Female,PhD,Director of Sales and Marketing,,180000.0
28.0,Male,Bachelor's,Junior Operations Analyst,bbb,35000.0
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0
47.0,Male,Master's,Director of Business Development,19.0,170000.0
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0
28.0,,Bachelor's,Junior Business Analyst,2.0,40000.0
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0
35.0,,Master's,Senior Software Developer,9.0,110000.0
49.0,Female,Master's,Director of Human Capital,21.0,180000.0
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0
,Male,Bachelor's,Senior Sales Manager,16.0,130000.0
27.0,Female,Master's,Junior UX Designer,1.5,45000.0
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0
39.0,Female,Bachelor's,,10.0,120000.0
47.0,Male,Master's,Director of Finance,20.0,170000.0
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
,Male,Master's,Senior IT Consultant,9.0,110000.0
45.0,Female,PhD,Senior Product Designer,15.0,150000.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
50.0,Female,PhD,Director of Operations,,180000.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0
,Male,Master's,Director of Marketing,19.0,170000.0
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
37.0,Male,Master's,Senior Software Architect,9.0,120000.0
51.0,Female,Master's,Director of Human Resources,21.0,190000.0
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0
27.0,Female,Master's,Junior Research Scientist,,50000.0
,,Bachelor's,Senior Operations Analyst,8.0,85000.0
42.0,Female,PhD,bbb,,140000.0
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0
45.0,Male,Master's,Senior Software Developer,16.0,140000.0
,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0
44.0,Female,PhD,bbb,18.0,160000.0
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0
38.0,Female,,Senior Product Manager,10.0,120000.0
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0
49.0,,Master's,Director of Marketing,21.0,180000.0
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
47.0,Male,Master's,Director of Operations,20.0,170000.0
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0
45.0,Female,,Senior Product Designer,15.0,150000.0
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
34.0,Female,Master's,Senior Financial Advisor,,100000.0
35.0,Male,Bachelor's,Senior Project Coordinator,,
50.0,Female,PhD,Director of Operations,22.0,180000.0
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0
,,,,,
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0
46.0,Male,PhD,Senior Data Scientist,,160000.0
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
44.0,,Master's,Senior HR Specialist,15.0,140000.0
,Male,,Junior Operations Manager,4.0,60000.0
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
45.0,,,Senior Data Engineer,16.0,150000.0
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0
47.0,Female,Master's,Director of Marketing,20.0,180000.0
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0
36.0,Male,,Senior Product Manager,8.0,95000.0
49.0,Female,Master's,Director of Operations,21.0,180000.0
31.0,Male,Bachelor's,Junior Operations Analyst,,50000.0
41.0,Female,Bachelor's,,11.0,95000.0
47.0,Male,Master's,Director of Marketing,19.0,170000.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
44.0,Female,PhD,Senior Product Designer,15.0,150000.0
33.0,Male,Bachelor's,,4.0,60000.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0
38.0,Female,Bachelor's,,10.0,110000.0
49.0,Male,PhD,Director of Operations,21.0,180000.0
29.0,Female,Bachelor's,,2.0,40000.0
35.0,Male,Bachelor's,bbb,7.0,90000.0
45.0,Female,Master's,Senior HR Manager,14.0,140000.0
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0
37.0,Male,,Senior Marketing Analyst,9.0,100000.0
48.0,Female,Master's,Director of HR,20.0,180000.0
31.0,Male,,Junior Project Manager,3.0,
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0
49.0,Female,Master's,Director of Marketing,21.0,180000.0
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0
47.0,Male,Master's,Director of Marketing,,170000.0
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
44.0,Female,PhD,Senior Product Designer,15.0,150000.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
44.0,Male,Bachelor's,Senior Software Engineer,13.0,
,Female,Master's,Senior Financial Advisor,6.0,
,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0
39.0,Female,Bachelor's,Senior Project Manager,12.0,
47.0,Male,,Director of Engineering,20.0,180000.0
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0
43.0,Female,PhD,,,150000.0
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
48.0,Male,Master's,Director of Marketing,21.0,180000.0
31.0,Female,Bachelor's,,3.0,50000.0
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
,Female,PhD,Senior UX Designer,16.0,160000.0
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0
36.0,Female,Bachelor's,,8.0,95000.0
47.0,Male,Master's,Director of Operations,19.0,170000.0
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
33.0,,Bachelor's,Junior Marketing Specialist,5.0,70000.0
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
43.0,Male,Master's,Director of Marketing,18.0,170000.0
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
35.0,,Bachelor's,Senior Marketing Analyst,8.0,85000.0
45.0,Male,Master's,Director of Engineering,19.0,180000.0
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0
36.0,Male,Bachelor's,,8.0,110000.0
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0
31.0,Male,Bachelor's,Junior Marketing Coordinator,bbb,55000.0
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
48.0,Male,Master's,Director of Marketing,21.0,180000.0
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
45.0,Female,PhD,Senior UX Designer,16.0,160000.0
,Male,Bachelor's,,4.0,60000.0
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
47.0,Male,Master's,Director of Operations,19.0,
29.0,Female,,Junior Project Manager,2.0,40000.0
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
44.0,Female,PhD,Senior Business Analyst,15.0,
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
43.0,Male,Master's,Director of Marketing,18.0,170000.0
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
43.0,Male,Master's,Director of Operations,19.0,170000.0
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0
34.0,Male,,Senior Operations Coordinator,7.0,90000.0
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
31.0,Male,Master's,Data Scientist,6.0,160000.0
28.0,Female,Bachelor's,Software Engineer,3.0,125000.0
26.0,Male,Master's,Product Manager,2.0,120000.0
27.0,Female,Bachelor's,Data Analyst,2.0,110000.0
30.0,Male,PhD,Data Scientist,5.0,180000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
32.0,Male,Bachelor's,Product Manager,7.0,170000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,Product Manager,bbb,130000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
34.0,Male,Bachelor's,Product Manager,9.0,185000.0
25.0,Female,Master's,,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,Product Manager,3.0,130000.0
30.0,,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
26.0,Female,Master's,Product Manager,,120000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
32.0,Male,Bachelor's,Product Manager,7.0,170000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,Product Manager,3.0,130000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,,Software Engineer,4.0,140000.0
34.0,Male,Bachelor's,Product Manager,9.0,185000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,Product Manager,3.0,130000.0
30.0,,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
26.0,Female,Master's,Product Manager,2.0,120000.0
,Male,Bachelor's,,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
32.0,Male,Bachelor's,Product Manager,7.0,170000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,,Product Manager,3.0,130000.0
30.0,,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
34.0,,Bachelor's,Product Manager,9.0,
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,Product Manager,3.0,130000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
26.0,Female,Master's,Product Manager,2.0,120000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
,Male,Bachelor's,Software Engineer,4.0,140000.0
32.0,Male,Bachelor's,Product Manager,7.0,170000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,
31.0,Female,Bachelor's,,6.0,155000.0
28.0,Male,Master's,Product Manager,3.0,130000.0
30.0,Female,Bachelor's,bbb,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
34.0,Male,Bachelor's,Product Manager,,185000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,,3.0,130000.0
30.0,Female,Bachelor's,Data Analyst,bbb,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
,Male,Bachelor's,bbb,9.0,185000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,Product Manager,3.0,130000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
26.0,Female,Master's,Product Manager,2.0,120000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
32.0,Male,Bachelor's,Product Manager,7.0,170000.0
25.0,Female,Master's,,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
28.0,Male,Master's,bbb,3.0,130000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,,Software Engineer,4.0,140000.0
34.0,Male,,Product Manager,9.0,185000.0
25.0,Female,Master's,,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
